[Header]
TITLE, default name
FILEOPENTIME,1680217707.00,3/30/2023,7:08 PM
BYAPP, Resistivity, 2.0, 1.0
INFO, Rxx, Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm-m, Sample1 Units
INFO, Rxy, Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm-m, Sample2 Units
INFO, , Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm-m, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm-m, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,7758525.219,,49.9992584228516,49320.5796875,1.72808126620536e-041,0.830382379150391,4.99995136260986,-0.0383664100646973,4.99995136260986,,,,,5.47334275743517e-006,1.47008396594628e-005,,,10,830.382379150391,-38.3664100646973,,
,7758536.547,,49.9998382568359,48188.622265625,1.72808126620536e-041,0.830402044677734,4.99995136260986,-0.0383671085357666,4.99995136260986,,,,,4.8319872961515e-006,1.2769355270464e-005,,,10,830.402044677734,-38.3671085357666,,
,7758547.953,,49.9996559143066,47082.007421875,1.72808126620536e-041,0.830420007324219,4.99995136260986,-0.0383754856109619,4.99995136260986,,,,,1.03790037495923e-005,1.48077766571095e-005,,,10,830.420007324219,-38.3754856109619,,
,7758559.156,,50.0002410888672,45952.5015625,1.72808126620536e-041,0.830445935058594,4.99995136260986,-0.0383851093292236,4.99995136260986,,,,,7.64579873199166e-006,1.70621980759314e-005,,,10,830.445935058594,-38.3851093292236,,
,7758570.516,,49.9996021270752,44848.316015625,1.72808126620536e-041,0.8304716796875,4.99995136260986,-0.0383958614349365,4.99995136260986,,,,,4.65469917074829e-006,1.11740756948489e-005,,,10,830.4716796875,-38.3958614349365,,
,7758581.734,,49.9994651794434,43746.242578125,1.72808126620536e-041,0.830479571533203,4.99995136260986,-0.0384049480438232,4.99995136260986,,,,,3.37518702198504e-006,1.69021258473933e-005,,,10,830.479571533203,-38.4049480438232,,
,7758592.703,,49.9998226165771,42651.10234375,1.72808126620536e-041,0.830507635498047,4.99995136260986,-0.0384171627044678,4.99995136260986,,,,,3.47934934441954e-006,2.1412279124942e-005,,,10,830.507635498047,-38.4171627044678,,
,7758603.906,,49.9995559692383,41508.4453125,1.72808126620536e-041,0.8305244140625,4.99995136260986,-0.0384204086303711,4.99995136260986,,,,,3.05222925813816e-006,1.34102247983377e-005,,,10,830.5244140625,-38.4204086303711,,
,7758615.281,,49.9999549865723,40395.084375,1.72808126620536e-041,0.830548608398437,4.99995136260986,-0.0384221916198731,4.99995136260986,,,,,4.67827645331543e-006,1.78659217823325e-005,,,10,830.548608398438,-38.422191619873,,
,7758626.562,,50.0000129699707,39267.95703125,1.72808126620536e-041,0.830564672851563,4.99995136260986,-0.0384371021270752,4.99995136260986,,,,,3.83902326505017e-006,1.50960145280035e-005,,,10,830.564672851562,-38.4371021270752,,
,7758637.953,,49.9999202728271,38160.713671875,1.72808126620536e-041,0.830608978271484,4.99995136260986,-0.0384384265899658,4.99995136260986,,,,,7.12996038849226e-006,1.08673583579408e-005,,,10,830.608978271484,-38.4384265899658,,
,7758649.078,,50.0001667022705,37029.97265625,1.72808126620536e-041,0.830622021484375,4.99995136260986,-0.0384585586547852,4.99995136260986,,,,,5.14022029646072e-006,1.50012971112515e-005,,,10,830.622021484375,-38.4585586547852,,
,7758660.469,,49.9990989685059,35920.915234375,1.72808126620536e-041,0.830642108154297,4.99995136260986,-0.0384501510620117,4.99995136260986,,,,,3.97396117416622e-006,1.61299153671595e-005,,,10,830.642108154297,-38.4501510620117,,
,7758671.562,,49.9992294311523,34812.696875,1.72808126620536e-041,0.830684710693359,4.99995136260986,-0.0384711589813232,4.99995136260986,,,,,1.03924836820109e-005,1.39858678456038e-005,,,10,830.684710693359,-38.4711589813232,,
,7758682.797,,49.9996940612793,33677.1171875,1.72808126620536e-041,0.830723937988281,4.99995136260986,-0.0384789394378662,4.99995136260986,,,,,5.58036052357785e-006,1.13290991449941e-005,,,10,830.723937988281,-38.4789394378662,,
