Field Up,Resistance Up,Hall Resistance Up
-5.000023046875,830.255511474609,-40.2913970947266
-5.000022109375,830.254315185547,-40.2884860992432
-5.0000230078125005,830.262683105469,-40.2811401367187
-5.0000223046875,830.262890625,-40.2865169525146
-5.0000212500000005,830.273236083984,-40.2745063781738
-5.000019140625,830.242218017578,-40.2848335266113
-5.0000173828125,830.253198242188,-40.2860397338867
-5.0000149609375,830.241772460937,-40.2818454742432
-5.0000177343750005,830.254486083984,-40.2936641693115
-5.000018671875,830.261535644531,-40.2901035308838
-5.000019570312499,830.258911132813,-40.2809673309326
-5.00002046875,830.251953125,-40.2822387695312
-5.000020234375,830.237017822266,-40.2930450439453
-5.00002,830.251110839844,-40.2825263977051
-5.000020859375,830.255670166016,-40.2936954498291
-5.0000183203125,830.249865722656,-40.2869640350342
-5.00001828125,830.257391357422,-40.2815170288086
-5.00001328125,830.233184814453,-40.2889213562012
-5.0000168359375,830.243109130859,-40.2879432678223
-5.0000166015625,830.252075195313,-40.2784324645996
-5.00001703125,830.235949707031,-40.2945415496826
-5.0000177734375,830.2318359375,-40.2917858123779
-5.0000193359375,830.250903320313,-40.28635597229
-5.000021796875,830.250610351563,-40.2928470611572
-5.000017109375,830.236242675781,-40.2946910858154
-5.0000150390625,830.244720458984,-40.2786117553711
-4.932830859375,830.243792724609,-40.2759792327881
-4.82269734375,830.283660888672,-40.2644287109375
-4.710386015625,830.310791015625,-40.2693023681641
-4.5996437890625,830.318365478516,-40.2719291687012
-4.4868360546875,830.348083496094,-40.2559017181396
-4.373893515625,830.356689453125,-40.2472396850586
-4.2604460546875,830.380645751953,-40.2442493438721
-4.1483796875,830.407177734375,-40.2393218994141
-4.0351639453125,830.450360107422,-40.2278648376465
-3.92432921875,830.454711914063,-40.2268096923828
-3.8111403124999996,830.486413574219,-40.2175975799561
-3.6977900781249997,830.511761474609,-40.2144645690918
-3.5843025,830.531091308594,-40.2104312896729
-3.4720126171875,830.56123046875,-40.1991722106934
-3.3607313281249995,830.615399169922,-40.1939102172852
-3.25062265625,830.62744140625,-40.19287109375
-3.13750763671875,830.678021240234,-40.1806156158447
-3.02609794921875,830.715441894531,-40.1713748931885
-2.9152974023437497,830.779638671875,-40.1678596496582
-2.80167130859375,830.826428222656,-40.1716663360596
-2.69098802734375,830.873406982422,-40.1733070373535
-2.5776547265625,830.913861083984,-40.1565769195557
-2.4664911328125,830.962237548828,-40.1564147949219
-2.3538001171875,831.040802001953,-40.1514633178711
-2.2390219140625,831.098010253906,-40.1417503356934
-2.12794525390625,831.171862792969,-40.1423999786377
-2.0154371875,831.241827392578,-40.1314456939697
-1.90322658203125,831.316809082031,-40.1333789825439
-1.7898431835937498,831.386981201172,-40.1327167510986
-1.6771946484375,831.471801757813,-40.1124725341797
-1.56370176757813,831.560571289063,-40.1183494567871
-1.45085124023437,831.659893798828,-40.1102046966553
-1.33723990234375,831.750213623047,-40.1123413085937
-1.2260461621093701,831.873229980469,-40.0981937408447
-1.1131069921874999,832.0271484375,-40.0930210113525
-1.00090828125,832.140417480469,-40.0915657043457
-0.8894981152343749,832.349835205078,-40.0854496002197
-0.775764345703125,832.559020996094,-40.087788772583
-0.661840561523437,832.830200195313,-40.0800796508789
-0.5507021191406251,833.135168457031,-40.0797157287598
-0.439017778320312,833.549658203125,-40.0754978179932
-0.327535368652344,834.006884765625,-40.0682651519775
-0.21775411499023398,834.521179199219,-40.058475112915
-0.10398895812988301,835.062054443359,-40.0452835083008
0.0075224785423278805,835.579125976563,-40.0284683227539
0.120920130004883,836.101593017578,-40.0030220031738
0.235654699707031,836.013397216797,-39.7446334838867
0.34944416015625,834.923907470703,-39.2973491668701
0.46448016601562503,833.921099853516,-39.0458591461182
0.577743232421875,833.308508300781,-38.9032699584961
0.6884675,832.915319824219,-38.8240695953369
0.798844477539063,832.626458740234,-38.7786403656006
0.9122952832031249,832.415881347656,-38.7591232299805
1.0263136914062498,832.237927246094,-38.7324596405029
1.13997265625,832.074450683594,-38.7106632232666
1.25459106445313,831.936236572266,-38.6936828613281
1.369213203125,831.811944580078,-38.6726802825928
1.4842178125,831.730395507813,-38.6578468322754
1.59662481445313,831.628283691406,-38.6507297515869
1.7107814843749998,831.568603515625,-38.6387233734131
1.822197578125,831.464880371094,-38.6175971984863
1.93561513671875,831.379052734375,-38.6142852783203
2.04832685546875,831.315197753906,-38.5925315856934
2.1620180859375,831.256988525391,-38.578169631958
2.2774288476562496,831.171008300781,-38.572477722168
2.38963751953125,831.095385742188,-38.5570598602295
2.5023569140625,831.061108398437,-38.5520893096924
2.6149649609375,831.006677246094,-38.5414569854736
2.7291120703125,830.947766113281,-38.5313320159912
2.8434286328125,830.879321289063,-38.5220306396484
2.9571865234375,830.854321289062,-38.5076988220215
3.0694409375,830.799920654297,-38.5124893188477
3.1821564257812502,830.771862792969,-38.498318862915
3.2947144140625,830.725762939453,-38.4869464874268
3.4086278125,830.696301269531,-38.4728061676025
3.522151171875,830.669104003906,-38.465299987793
3.6349561328124995,830.632476806641,-38.4559982299805
3.7491583203125,830.629705810547,-38.4553771972656
3.8629160937499996,830.578039550781,-38.4471797943115
3.97602984375,830.564056396484,-38.4239459991455
4.0860505859375,830.546099853516,-38.4185577392578
4.199959921875,830.512145996094,-38.4109386444092
4.3118539843749994,830.498712158203,-38.4083557128906
4.42556,830.476068115234,-38.3960041046143
4.5366681640625,830.456683349609,-38.3942268371582
4.6512835546875,830.422045898438,-38.389429473877
4.76579453125,830.397064208984,-38.3717681884766
4.882636015625,830.383892822266,-38.3722812652588
4.99094765625,830.380523681641,-38.3654682159424
5.0000231640625,830.380267333984,-38.3574840545654
5.0000270703125,830.355230712891,-38.3516010284424
5.000025625,830.377319335938,-38.3617088317871
5.000026093750001,830.341973876953,-38.3554973602295
5.000021953125,830.3666015625,-38.3617256164551
5.0000215625,830.368762207031,-38.3539516448975
5.000021210937501,830.373065185547,-38.354220199585
5.0000216015625005,830.339788818359,-38.3543041229248
5.0000212500000005,830.374664306641,-38.3584987640381
5.0000224609375,830.380401611328,-38.3520122528076
5.0000257421875,830.369702148437,-38.3575199127197
5.0000255859375,830.366662597656,-38.3518222808838
5.000024375,830.380285644531,-38.3473049163818
5.0000265234375005,830.363928222656,-38.3579376220703
