2Theta,Intensity
15.129999999999999,14
15.149999999999999,8
15.169999999999998,9
15.189999999999998,15
15.209999999999999,9
15.229999999999999,8
15.249999999999998,7
15.269999999999998,9
15.289999999999997,13
15.309999999999999,9
15.329999999999998,10
15.349999999999998,12
15.369999999999997,14
15.389999999999999,10
15.409999999999998,15
15.429999999999998,5
15.449999999999998,8
15.469999999999999,6
15.489999999999998,12
15.509999999999998,8
15.529999999999998,12
15.549999999999999,14
15.569999999999999,12
15.589999999999998,10
15.609999999999998,8
15.629999999999999,7
15.649999999999999,8
15.669999999999998,12
15.689999999999998,14
15.709999999999997,8
15.729999999999999,8
15.749999999999998,5
15.769999999999998,9
15.789999999999997,15
15.809999999999999,7
15.829999999999998,15
15.849999999999998,5
15.869999999999997,11
15.889999999999999,10
15.909999999999998,15
15.929999999999998,6
15.949999999999998,13
15.969999999999999,9
15.989999999999998,7
16.009999999999998,12
16.029999999999998,8
16.049999999999997,12
16.07,10
16.089999999999996,8
16.11,6
16.129999999999995,15
16.15,11
16.169999999999998,10
16.189999999999998,13
16.209999999999997,9
16.229999999999997,15
16.25,9
16.269999999999996,12
16.29,15
16.31,8
16.33,13
16.349999999999998,13
16.369999999999997,15
16.39,17
16.409999999999997,13
16.43,20
16.449999999999996,14
16.47,10
16.49,11
16.509999999999998,12
16.529999999999998,16
16.549999999999997,14
16.57,9
16.589999999999996,16
16.61,10
16.629999999999995,12
16.65,16
16.669999999999998,14
16.689999999999998,12
16.709999999999997,11
16.729999999999997,18
16.75,14
16.769999999999996,10
16.79,11
16.81,9
16.83,17
16.849999999999998,14
16.869999999999997,12
16.89,12
16.909999999999997,10
16.93,13
16.949999999999996,12
16.97,15
16.99,14
17.009999999999998,10
17.029999999999998,11
17.049999999999997,8
17.07,17
17.089999999999996,11
17.11,9
17.129999999999995,16
17.15,17
17.169999999999998,20
17.189999999999998,12
17.209999999999997,7
17.229999999999997,11
17.25,15
17.269999999999996,12
17.29,16
17.31,4
17.33,12
17.349999999999998,8
17.369999999999997,13
17.389999999999997,16
17.409999999999997,6
17.43,12
17.449999999999996,12
17.47,11
17.49,9
17.509999999999998,12
17.529999999999998,10
17.549999999999997,7
17.57,16
17.589999999999996,12
17.61,10
17.629999999999995,11
17.65,16
17.669999999999998,15
17.689999999999998,7
17.709999999999997,7
17.729999999999997,11
17.75,16
17.769999999999996,5
17.79,6
17.809999999999995,13
17.83,10
17.849999999999998,11
17.869999999999997,7
17.889999999999997,8
17.909999999999997,7
17.93,6
17.949999999999996,15
17.97,8
17.99,5
18.009999999999998,13
18.029999999999998,4
18.049999999999997,5
18.07,9
18.089999999999996,10
18.11,11
18.129999999999995,10
18.15,9
18.169999999999998,5
18.189999999999998,9
18.209999999999997,6
18.229999999999997,13
18.25,10
18.269999999999996,9
18.29,5
18.309999999999995,6
18.33,8
18.349999999999998,7
18.369999999999997,8
18.389999999999997,8
18.409999999999997,12
18.43,7
18.449999999999996,15
18.47,8
18.49,11
18.509999999999998,11
18.529999999999998,14
18.549999999999997,11
18.57,7
18.589999999999996,7
18.61,9
18.629999999999995,12
18.65,6
18.669999999999998,8
18.689999999999998,6
18.709999999999997,9
18.729999999999997,10
18.75,13
18.769999999999996,9
18.79,13
18.809999999999995,8
18.83,8
18.849999999999998,8
18.869999999999997,13
18.889999999999997,7
18.909999999999997,8
18.93,14
18.949999999999996,7
18.97,6
18.99,9
19.009999999999998,7
19.029999999999998,4
19.049999999999997,17
19.07,12
19.089999999999996,12
19.11,11
19.129999999999995,12
19.15,6
19.169999999999998,13
19.189999999999998,11
19.209999999999997,7
19.229999999999997,9
19.25,11
19.269999999999996,9
19.29,5
19.309999999999995,6
19.33,14
19.349999999999998,10
19.369999999999997,15
19.389999999999997,13
19.409999999999997,12
19.43,12
19.449999999999996,8
19.47,9
19.49,12
19.509999999999998,9
19.529999999999998,7
19.549999999999997,12
19.569999999999997,8
19.589999999999996,11
19.61,6
19.629999999999995,7
19.65,8
19.669999999999998,3
19.689999999999998,9
19.709999999999997,8
19.729999999999997,14
19.75,8
19.769999999999996,6
19.79,5
19.809999999999995,13
19.83,9
19.849999999999998,12
19.869999999999997,5
19.889999999999997,13
19.909999999999997,11
19.93,8
19.949999999999996,5
19.97,14
19.989999999999995,15
20.009999999999998,10
20.029999999999998,5
20.049999999999997,6
20.069999999999997,8
20.089999999999996,9
20.11,6
20.129999999999995,5
20.15,9
20.169999999999998,8
20.189999999999998,8
20.209999999999997,3
20.229999999999997,5
20.25,12
20.269999999999996,9
20.29,13
20.309999999999995,9
20.33,11
20.349999999999998,6
20.369999999999997,6
20.389999999999997,7
20.409999999999997,7
20.43,6
20.449999999999996,8
20.47,12
20.489999999999995,5
20.509999999999998,2
20.529999999999998,6
20.549999999999997,13
20.569999999999997,4
20.589999999999996,5
20.61,12
20.629999999999995,6
20.65,9
20.669999999999998,15
20.689999999999998,8
20.709999999999997,11
20.729999999999997,9
20.75,12
20.769999999999996,10
20.79,9
20.809999999999995,6
