Up field,Down field,Rxx,+Rxy,-Rxy
-50000.0,50000.0,830.3178897314436,-0.9669463308098187,0.9669463308098187
-49950.0,49950.0,830.3179603466815,-0.9647469603883643,0.9647469603883643
-49900.0,49900.0,830.318032317017,-0.9629346345219609,0.9629346345219609
-49850.0,49850.0,830.3181100819878,-0.9627773788180249,0.9627773788180249
-49800.0,49800.0,830.3181878469586,-0.962620123114089,0.962620123114089
-49750.0,49750.0,830.3182656119293,-0.962462867410153,0.962462867410153
-49700.0,49700.0,830.3183433769,-0.962305611706217,0.962305611706217
-49650.0,49650.0,830.3184211418707,-0.962148356002281,0.962148356002281
-49600.0,49600.0,830.3184989068415,-0.961991100298345,0.961991100298345
-49550.0,49550.0,830.3185766718123,-0.9618338445944055,0.9618338445944055
-49500.0,49500.0,830.3186544367829,-0.9616765888904695,0.9616765888904695
-49450.0,49450.0,830.3187322017536,-0.9615193331865335,0.9615193331865335
-49400.0,49400.0,830.3188099667243,-0.9613620774825975,0.9613620774825975
-49350.0,49350.0,830.3188877316951,-0.9612048217786615,0.9612048217786615
-49300.0,49300.0,830.3189654966658,-0.9610475660747255,0.9610475660747255
-49250.0,49250.0,830.3190432616366,-0.9608903103707895,0.9608903103707895
-49200.0,49200.0,830.3191210266073,-0.9607330546668535,0.9607330546668535
-49150.0,49150.0,830.319198791578,-0.960575798962914,0.960575798962914
-49100.0,49100.0,830.3192765565487,-0.960418543258978,0.960418543258978
-49050.0,49050.0,830.3193543215194,-0.960261287555042,0.960261287555042
-49000.0,49000.0,830.3194320864902,-0.960104031851106,0.960104031851106
-48950.0,48950.0,830.3195098514609,-0.9599467761471701,0.9599467761471701
-48900.0,48900.0,830.3195876164316,-0.9597895204432341,0.9597895204432341
-48850.0,48850.0,830.3196653814023,-0.9596322647392981,0.9596322647392981
-48800.0,48800.0,830.3198507257232,-0.9595637023975101,0.9595637023975101
-48750.0,48750.0,830.320132547432,-0.9595746804500607,0.9595746804500607
-48700.0,48700.0,830.320414369141,-0.9595856585026112,0.9595856585026112
-48650.0,48650.0,830.3206961908497,-0.9595966365551618,0.9595966365551618
-48600.0,48600.0,830.3209780125587,-0.9596076146077088,0.9596076146077088
-48550.0,48550.0,830.3212598342675,-0.9596185926602594,0.9596185926602594
-48500.0,48500.0,830.3215416559765,-0.95962957071281,0.95962957071281
-48450.0,48450.0,830.3218234776853,-0.9596405487653605,0.9596405487653605
-48400.0,48400.0,830.3221052993943,-0.9596515268179111,0.9596515268179111
-48350.0,48350.0,830.322387121103,-0.9596625048704617,0.9596625048704617
-48300.0,48300.0,830.322668942812,-0.9596734829230122,0.9596734829230122
-48250.0,48250.0,830.3229507645208,-0.9596844609755593,0.9596844609755593
-48200.0,48200.0,830.3232325862298,-0.9596954390281098,0.9596954390281098
-48150.0,48150.0,830.3235144079385,-0.9597064170806604,0.9597064170806604
-48100.0,48100.0,830.3237962296475,-0.959717395133211,0.959717395133211
-48050.0,48050.0,830.3240780513563,-0.9597283731857615,0.9597283731857615
-48000.0,48000.0,830.3243598730653,-0.9597393512383121,0.9597393512383121
-47950.0,47950.0,830.3246416947741,-0.9597503292908627,0.9597503292908627
-47900.0,47900.0,830.3249235164831,-0.9597613073434097,0.9597613073434097
-47850.0,47850.0,830.3252053381918,-0.9597722853959603,0.9597722853959603
-47800.0,47800.0,830.3254871599008,-0.9597832634485108,0.9597832634485108
-47750.0,47750.0,830.3257689816096,-0.9597942415010614,0.9597942415010614
-47700.0,47700.0,830.3260508033186,-0.959805219553612,0.959805219553612
-47650.0,47650.0,830.3263745091779,-0.9597531819543796,0.9597531819543796
-47600.0,47600.0,830.3269199086278,-0.9593676013329713,0.9593676013329713
-47550.0,47550.0,830.3274653080778,-0.9589820207115629,0.9589820207115629
-47500.0,47500.0,830.3280107075278,-0.9585964400901545,0.9585964400901545
-47450.0,47450.0,830.3285561069779,-0.9582108594687462,0.9582108594687462
-47400.0,47400.0,830.3291015064278,-0.9578252788473378,0.9578252788473378
-47350.0,47350.0,830.3296469058778,-0.9574396982259294,0.9574396982259294
-47300.0,47300.0,830.3301923053277,-0.9570541176045211,0.9570541176045211
-47250.0,47250.0,830.3307377047778,-0.9566685369831127,0.9566685369831127
-47200.0,47200.0,830.3312831042277,-0.9562829563617079,0.9562829563617079
-47150.0,47150.0,830.3318285036778,-0.9558973757402995,0.9558973757402995
-47100.0,47100.0,830.3323739031277,-0.9555117951188912,0.9555117951188912
-47050.0,47050.0,830.3329193025777,-0.9551262144974828,0.9551262144974828
-47000.0,47000.0,830.3334647020276,-0.9547406338760744,0.9547406338760744
-46950.0,46950.0,830.3340101014777,-0.9543550532546661,0.9543550532546661
-46900.0,46900.0,830.3345555009278,-0.9539694726332577,0.9539694726332577
-46850.0,46850.0,830.3351009003777,-0.9535838920118493,0.9535838920118493
-46800.0,46800.0,830.3356462998277,-0.953198311390441,0.953198311390441
-46750.0,46750.0,830.3361916992776,-0.9528127307690362,0.9528127307690362
-46700.0,46700.0,830.3367370987277,-0.9524271501476278,0.9524271501476278
-46650.0,46650.0,830.3372824981776,-0.9520415695262194,0.9520415695262194
-46600.0,46600.0,830.3378278976277,-0.9516559889048111,0.9516559889048111
-46550.0,46550.0,830.3383732970776,-0.9512704082834027,0.9512704082834027
-46500.0,46500.0,830.3389726354451,-0.950956948071962,0.950956948071962
-46450.0,46450.0,830.33972815028,-0.9508523076031921,0.9508523076031921
-46400.0,46400.0,830.3404836651149,-0.9507476671344257,0.9507476671344257
-46350.0,46350.0,830.3412391799498,-0.9506430266656558,0.9506430266656558
-46300.0,46300.0,830.3419946947847,-0.9505383861968895,0.9505383861968895
-46250.0,46250.0,830.3427502096197,-0.9504337457281231,0.9504337457281231
-46200.0,46200.0,830.3435057244546,-0.9503291052593532,0.9503291052593532
-46150.0,46150.0,830.3442612392895,-0.9502244647905869,0.9502244647905869
-46100.0,46100.0,830.3450167541243,-0.950119824321817,0.950119824321817
-46050.0,46050.0,830.3457722689593,-0.9500151838530506,0.9500151838530506
-46000.0,46000.0,830.3465277837943,-0.9499105433842843,0.9499105433842843
-45950.0,45950.0,830.3472832986292,-0.9498059029155144,0.9498059029155144
-45900.0,45900.0,830.3480388134641,-0.949701262446748,0.949701262446748
-45850.0,45850.0,830.3487943282989,-0.9495966219779817,0.9495966219779817
-45800.0,45800.0,830.3495498431339,-0.9494919815092118,0.9494919815092118
-45750.0,45750.0,830.3503053579689,-0.9493873410404454,0.9493873410404454
-45700.0,45700.0,830.3510608728038,-0.9492827005716755,0.9492827005716755
-45650.0,45650.0,830.3518163876387,-0.9491780601029092,0.9491780601029092
-45600.0,45600.0,830.3525719024736,-0.9490734196341428,0.9490734196341428
-45550.0,45550.0,830.3533274173085,-0.9489687791653729,0.9489687791653729
-45500.0,45500.0,830.3540829321435,-0.9488641386966066,0.9488641386966066
-45450.0,45450.0,830.3548384469784,-0.9487594982278367,0.9487594982278367
-45400.0,45400.0,830.3555939618134,-0.9486548577590703,0.9486548577590703
-45350.0,45350.0,830.3562429323308,-0.9485717869486798,0.9485717869486798
-45300.0,45300.0,830.3566791011261,-0.9485317973702543,0.9485317973702543
-45250.0,45250.0,830.3571152699215,-0.9484918077918323,0.9484918077918323
-45200.0,45200.0,830.3575514387167,-0.9484518182134103,0.9484518182134103
-45150.0,45150.0,830.3579876075119,-0.9484118286349847,0.9484118286349847
-45100.0,45100.0,830.3584237763072,-0.9483718390565627,0.9483718390565627
-45050.0,45050.0,830.3588599451025,-0.9483318494781408,0.9483318494781408
-45000.0,45000.0,830.3592961138977,-0.9482918598997152,0.9482918598997152
-44950.0,44950.0,830.3597322826929,-0.9482518703212932,0.9482518703212932
-44900.0,44900.0,830.3601684514882,-0.9482118807428677,0.9482118807428677
-44850.0,44850.0,830.3606046202835,-0.9481718911644457,0.9481718911644457
-44800.0,44800.0,830.3610407890787,-0.9481319015860237,0.9481319015860237
-44750.0,44750.0,830.361476957874,-0.9480919120075981,0.9480919120075981
-44700.0,44700.0,830.3619131266693,-0.9480519224291761,0.9480519224291761
-44650.0,44650.0,830.3623492954646,-0.9480119328507541,0.9480119328507541
-44600.0,44600.0,830.3627854642598,-0.9479719432723286,0.9479719432723286
-44550.0,44550.0,830.363221633055,-0.9479319536939066,0.9479319536939066
-44500.0,44500.0,830.3636578018502,-0.947891964115481,0.947891964115481
-44450.0,44450.0,830.3640939706455,-0.947851974537059,0.947851974537059
-44400.0,44400.0,830.3645301394408,-0.947811984958637,0.947811984958637
-44350.0,44350.0,830.364966308236,-0.9477719953802115,0.9477719953802115
-44300.0,44300.0,830.3654024770312,-0.9477320058017895,0.9477320058017895
-44250.0,44250.0,830.3658455556656,-0.9476660793362903,0.9476660793362903
-44200.0,44200.0,830.3663434194515,-0.9473945104089943,0.9473945104089943
-44150.0,44150.0,830.3668412832374,-0.9471229414816946,0.9471229414816946
-44100.0,44100.0,830.3673391470234,-0.946851372554395,0.946851372554395
-44050.0,44050.0,830.3678370108094,-0.9465798036270954,0.9465798036270954
-44000.0,44000.0,830.3683348745951,-0.9463082346997957,0.9463082346997957
-43950.0,43950.0,830.3688327383811,-0.9460366657724961,0.9460366657724961
-43900.0,43900.0,830.3693306021671,-0.9457650968451965,0.9457650968451965
-43850.0,43850.0,830.369828465953,-0.9454935279179004,0.9454935279179004
-43800.0,43800.0,830.3703263297389,-0.9452219589906008,0.9452219589906008
-43750.0,43750.0,830.3708241935249,-0.9449503900633012,0.9449503900633012
-43700.0,43700.0,830.3713220573109,-0.9446788211360015,0.9446788211360015
-43650.0,43650.0,830.3718199210967,-0.9444072522087019,0.9444072522087019
-43600.0,43600.0,830.3723177848826,-0.9441356832814023,0.9441356832814023
-43550.0,43550.0,830.3728156486686,-0.9438641143541027,0.9438641143541027
-43500.0,43500.0,830.3733135124546,-0.943592545426803,0.943592545426803
-43450.0,43450.0,830.3738113762404,-0.943320976499507,0.943320976499507
-43400.0,43400.0,830.3743092400264,-0.9430494075722073,0.9430494075722073
-43350.0,43350.0,830.3748071038124,-0.9427778386449077,0.9427778386449077
-43300.0,43300.0,830.3753049675983,-0.9425062697176081,0.9425062697176081
-43250.0,43250.0,830.3758028313841,-0.9422347007903085,0.9422347007903085
-43200.0,43200.0,830.3763006951701,-0.9419631318630088,0.9419631318630088
-43150.0,43150.0,830.3767985589561,-0.9416915629357092,0.9416915629357092
-43100.0,43100.0,830.3772231097355,-0.9414992924873324,0.9414992924873324
-43050.0,43050.0,830.3775232560881,-0.9414415831804028,0.9414415831804028
-43000.0,43000.0,830.3778234024405,-0.9413838738734732,0.9413838738734732
-42950.0,42950.0,830.3781235487932,-0.9413261645665401,0.9413261645665401
-42900.0,42900.0,830.3784236951456,-0.9412684552596104,0.9412684552596104
-42850.0,42850.0,830.3787238414982,-0.9412107459526808,0.9412107459526808
-42800.0,42800.0,830.3790239878506,-0.9411530366457512,0.9411530366457512
-42750.0,42750.0,830.3793241342032,-0.9410953273388181,0.9410953273388181
-42700.0,42700.0,830.3796242805556,-0.9410376180318885,0.9410376180318885
-42650.0,42650.0,830.3799244269082,-0.9409799087249588,0.9409799087249588
-42600.0,42600.0,830.3802245732606,-0.9409221994180292,0.9409221994180292
-42550.0,42550.0,830.3805247196133,-0.9408644901110961,0.9408644901110961
-42500.0,42500.0,830.3808248659657,-0.9408067808041665,0.9408067808041665
-42450.0,42450.0,830.3811250123183,-0.9407490714972369,0.9407490714972369
-42400.0,42400.0,830.3814251586707,-0.9406913621903072,0.9406913621903072
-42350.0,42350.0,830.3817253050233,-0.9406336528833741,0.9406336528833741
-42300.0,42300.0,830.3820254513757,-0.9405759435764445,0.9405759435764445
-42250.0,42250.0,830.3823255977284,-0.9405182342695149,0.9405182342695149
-42200.0,42200.0,830.3826257440808,-0.9404605249625853,0.9404605249625853
-42150.0,42150.0,830.3829258904334,-0.9404028156556556,0.9404028156556556
