Theta2,Intensity
5.01,56.8181818181818
5.03,68.1818181818182
5.05,71.0227272727273
5.07,65.3409090909091
5.09,59.6590909090909
5.11,36.9318181818182
5.13,71.0227272727273
5.15,45.4545454545455
5.17,34.0909090909091
5.19,36.9318181818182
5.21,56.8181818181818
5.23,39.7727272727273
5.25,62.5
5.27,48.2954545454545
5.29,56.8181818181818
5.31,42.6136363636364
5.33,59.6590909090909
5.35,45.4545454545455
5.37,42.6136363636364
5.39,59.6590909090909
5.41,51.1363636363636
5.43,59.6590909090909
5.45,68.1818181818182
5.47,39.7727272727273
5.49,17.0454545454545
5.51,48.2954545454545
5.53,36.9318181818182
5.55,62.5
5.57,36.9318181818182
5.59,56.8181818181818
5.61,65.3409090909091
5.63,28.4090909090909
5.65,62.5
5.67,53.9772727272727
5.69,36.9318181818182
5.71,62.5
5.73,48.2954545454545
5.75,62.5
5.77,59.6590909090909
5.79,48.2954545454545
5.81,45.4545454545455
5.83,48.2954545454545
5.85,45.4545454545455
5.87,36.9318181818182
5.89,59.6590909090909
5.91,31.25
5.93,45.4545454545455
5.95,53.9772727272727
5.97,53.9772727272727
5.99,59.6590909090909
6.01,51.1363636363636
6.03,34.0909090909091
6.05,48.2954545454545
6.07,59.6590909090909
6.09,59.6590909090909
6.11,42.6136363636364
6.13,39.7727272727273
6.15,42.6136363636364
6.17,51.1363636363636
6.19,71.0227272727273
6.21,22.7272727272727
6.23,62.5
6.25,45.4545454545455
6.27,36.9318181818182
6.29,53.9772727272727
6.31,48.2954545454545
6.33,34.0909090909091
6.35,42.6136363636364
6.37,45.4545454545455
6.39,62.5
6.41,45.4545454545455
6.43,51.1363636363636
6.45,56.8181818181818
6.47,51.1363636363636
6.49,42.6136363636364
6.51,45.4545454545455
6.53,45.4545454545455
6.55,62.5
6.57,36.9318181818182
6.59,59.6590909090909
6.61,71.0227272727273
6.63,62.5
6.65,53.9772727272727
6.67,59.6590909090909
6.69,59.6590909090909
6.71,25.5681818181818
6.73,39.7727272727273
6.75,22.7272727272727
6.77,31.25
6.79,39.7727272727273
6.81,39.7727272727273
6.83,28.4090909090909
6.85,22.7272727272727
6.87,48.2954545454545
6.89,34.0909090909091
6.91,39.7727272727273
6.93,62.5
6.95,36.9318181818182
6.97,59.6590909090909
6.99,36.9318181818182
7.01,28.4090909090909
7.03,56.8181818181818
7.05,39.7727272727273
7.07,48.2954545454545
7.09,19.8863636363636
7.11,45.4545454545455
7.13,31.25
7.15,39.7727272727273
7.17,14.2045454545455
7.19,45.4545454545455
7.21,34.0909090909091
7.23,34.0909090909091
7.25,48.2954545454545
7.27,34.0909090909091
7.29,31.25
7.31,39.7727272727273
7.33,45.4545454545455
7.35,51.1363636363636
7.37,36.9318181818182
7.39,34.0909090909091
7.41,28.4090909090909
7.43,22.7272727272727
7.45,39.7727272727273
7.47,28.4090909090909
7.49,48.2954545454545
7.51,62.5
7.53,42.6136363636364
7.55,39.7727272727273
7.57,48.2954545454545
7.59,28.4090909090909
7.61,53.9772727272727
7.63,42.6136363636364
7.65,45.4545454545455
7.67,17.0454545454545
7.69,31.25
7.71,39.7727272727273
7.73,14.2045454545455
7.75,45.4545454545455
7.77,51.1363636363636
7.79,22.7272727272727
7.81,39.7727272727273
7.83,51.1363636363636
7.85,22.7272727272727
7.87,34.0909090909091
7.89,53.9772727272727
7.91,28.4090909090909
7.93,19.8863636363636
7.95,19.8863636363636
7.97,34.0909090909091
7.99,31.25
8.01,45.4545454545455
8.03,39.7727272727273
8.05,53.9772727272727
8.07,34.0909090909091
8.09,39.7727272727273
8.11,36.9318181818182
8.13,25.5681818181818
8.15,31.25
8.17,42.6136363636364
8.19,34.0909090909091
8.21,36.9318181818182
8.23,48.2954545454545
8.25,42.6136363636364
8.27,36.9318181818182
8.29,28.4090909090909
8.31,28.4090909090909
8.33,42.6136363636364
8.35,31.25
8.37,34.0909090909091
8.39,36.9318181818182
8.41,31.25
8.43,45.4545454545455
8.45,25.5681818181818
8.47,31.25
8.49,34.0909090909091
8.51,39.7727272727273
8.53,31.25
8.55,36.9318181818182
8.57,31.25
8.59,39.7727272727273
8.61,22.7272727272727
8.63,42.6136363636364
8.65,45.4545454545455
8.67,42.6136363636364
8.69,34.0909090909091
8.71,19.8863636363636
8.73,36.9318181818182
8.75,42.6136363636364
8.77,19.8863636363636
8.79,39.7727272727273
8.81,39.7727272727273
8.83,28.4090909090909
8.85,22.7272727272727
8.87,34.0909090909091
8.89,25.5681818181818
8.91,28.4090909090909
8.93,39.7727272727273
8.95,34.0909090909091
8.97,36.9318181818182
8.99,25.5681818181818
9.01,11.3636363636364
9.03,45.4545454545455
9.05,31.25
9.07,34.0909090909091
9.09,28.4090909090909
9.11,25.5681818181818
9.13,39.7727272727273
9.15,45.4545454545455
9.17,36.9318181818182
9.19,34.0909090909091
9.21,28.4090909090909
9.23,14.2045454545455
9.25,19.8863636363636
9.27,39.7727272727273
9.29,25.5681818181818
9.31,31.25
9.33,48.2954545454545
9.35,31.25
9.37,25.5681818181818
9.39,22.7272727272727
9.41,31.25
9.43,39.7727272727273
9.45,31.25
9.47,36.9318181818182
9.49,34.0909090909091
9.51,42.6136363636364
9.53,8.52272727272727
9.55,17.0454545454545
9.57,25.5681818181818
9.59,51.1363636363636
9.61,42.6136363636364
9.63,22.7272727272727
9.65,22.7272727272727
9.67,25.5681818181818
9.69,36.9318181818182
9.71,19.8863636363636
9.73,36.9318181818182
9.75,31.25
9.77,17.0454545454545
9.79,42.6136363636364
9.81,34.0909090909091
9.83,31.25
9.85,56.8181818181818
9.87,22.7272727272727
9.89,39.7727272727273
9.91,42.6136363636364
9.93,25.5681818181818
9.95,28.4090909090909
9.97,19.8863636363636
9.99,25.5681818181818
10.01,25.5681818181818
10.03,31.25
10.05,42.6136363636364
10.07,42.6136363636364
10.09,36.9318181818182
10.11,31.25
10.13,45.4545454545455
10.15,34.0909090909091
10.17,22.7272727272727
10.19,31.25
10.21,36.9318181818182
10.23,25.5681818181818
10.25,25.5681818181818
10.27,25.5681818181818
10.29,8.52272727272727
10.31,45.4545454545455
10.33,36.9318181818182
10.35,39.7727272727273
10.37,34.0909090909091
10.39,39.7727272727273
10.41,28.4090909090909
